"Host","Parasite","ParasiteFull"
"Trisopterus minutus","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Urophycis chuss","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Urophycis regia","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Urophycis tenuis","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Xiphias gladius","Grillotia erinaceus","Grillotia erinaceus (Beneden, 1858)"
"Raja oxyrhynchus","Grillotia pseuderinaceus","Grillotia pseuderinaceus Dollfus, 1969"
"Artemia ","Gynandrotaenia stammeri","Gynandrotaenia stammeri Fuhrmann, 1936"
"Phoenicopterus ruber","Gynandrotaenia stammeri","Gynandrotaenia stammeri Fuhrmann, 1936"
"Pseudacris triseriata","Gyrinicola batrachiensis","Gyrinicola batrachiensis"
"Rana catesbeiana","Gyrinicola batrachiensis","Gyrinicola batrachiensis"
"Rana clamitans","Gyrinicola batrachiensis","Gyrinicola batrachiensis"
"Rana sylvatica","Gyrinicola batrachiensis","Gyrinicola batrachiensis"
"Anthracoceros malabaricus","Hadjelia truncata","Hadjelia truncata (Creplin, 1825)"
"Columba ","Hadjelia truncata","Hadjelia truncata (Creplin, 1825)"
"Columba livia","Hadjelia truncata","Hadjelia truncata (Creplin, 1825)"
"Columba livia domestica","Hadjelia truncata","Hadjelia truncata (Creplin, 1825)"
"Coracias garrulus","Hadjelia truncata","Hadjelia truncata (Creplin, 1825)"
"Lanius cristatus collurio","Hadjelia truncata","Hadjelia truncata (Creplin, 1825)"
"Milvus korschun","Hadjelia truncata","Hadjelia truncata (Creplin, 1825)"
"Upupa epops","Hadjelia truncata","Hadjelia truncata (Creplin, 1825)"
"(herbivore) ","Haemonchus contortus","Haemonchus contortus (Rudolphi, 1803)"
"(Mammals) ","Haemonchus contortus","Haemonchus contortus (Rudolphi, 1803)"
"(Ruminant) ","Haemonchus contortus","Haemonchus contortus (Rudolphi, 1803)"
"Addax nasomaculatus","Haemonchus contortus","Haemonchus contortus (Rudolphi, 1803)"
"Aepyceros melampus","Haemonchus contortus","Haemonchus contortus (Rudolphi, 1803)"
"Alces alces","Haemonchus contortus","Haemonchus contortus (Rudolphi, 1803)"
"Antelope cervicapra","Haemonchus contortus","Haemonchus contortus (Rudolphi, 1803)"
